name,img,rating,review_count,short_desc,long_desc,coordinate,address,price,opening_times
X-Pose Beer Club,https://ak-d.tripcdn.com/images/0103t12000chudm6317B5.jpg,5.0,1,,,"10.7382125, 106.6269505","97 Đ. Lý Chiêu Hoàng, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Vietnam",9.0,Mon to Sun：_17:00-23:30 
Telephone bar,https://ak-d.tripcdn.com/images/0105u12000jg3325uE897.jpg,4.8,5,,,"10.7708772, 106.6916325","41 Nguyễn Văn Tráng, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",17.0,Mon to Sun：_18:00-2:00 
Pizza 4P's Thiso Mall,https://ak-d.tripcdn.com/images/1zn3j224x8xggz4ko2E12.jpg,5.0,2,,,"10.7724565, 106.7220011","10 Đ. Mai Chí Thọ, Thủ Thiêm, Quận 2, Thành phố Hồ Chí Minh, Vietnam",0,Mon to Sun：_10:00-22:00 
FLATTO COFFEE and LOUNGE,https://ak-d.tripcdn.com/images/01043120009hj1vk01F70.jpg,4.0,1,,,"10.7243771, 106.7095367","145 Đ. số 10, Tân Phong, Quận 7, Thành phố Hồ Chí Minh 70000",0,Mon：_Closed all day _Tues to Sun：_07:00-15:00 _17:00-00:00 
Haidilao,https://ak-d.tripcdn.com/images/01017120005c5qzjt93F4.jpg,4.0,2,,,"10.771733, 106.70468",,0,Mon to Sun：_10:00-4:00 
IL CORDA Charcoal Steakhouse,https://ak-d.tripcdn.com/images/0105q120009dvpbm6F64D.jpg,4.0,2,,,"10.7814616, 106.7057042","11 Đ. Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0,Mon to Sun：_11:00-14:30 _17:00-23:00 
Paris Bistro,https://ak-d.tripcdn.com/images/100b0o000000f91izC805.jpg,0.0,0,,,"10.7850234, 106.6998908","20 Nguyen Thi Minh Khai | Dist. 1, Ho Chi Minh City 700000, Vietnam",15.0,Mon to Sun：_09:00-22:00 
Latra,https://ak-d.tripcdn.com/images/10060o000000f7bl80FC3.jpg,0.0,0,,,"10.77013, 106.6888947","157 Le Thi Rieng | Dist. 1, Ho Chi Minh City, Vietnam",3.0,Mon to Sun：_08:00-22:00 
Aloha,https://ak-d.tripcdn.com/images/100s0o000000fdkvr6B07.jpg,0.0,0,,,"10.774718, 106.703963","88 Mac Thi Buoi Q1 HCM, Ho Chi Minh City Vietnam",16.0,Mon to Sun：_11:00-19:00 
Ran Bien 5 Restaurant,https://ak-d.tripcdn.com/images/100t0n000000e0cgg93D5.jpg,0.0,0,,,"10.7869122, 106.6867344","193-195 Nam Ky Khoi Nghia Ward 7, Ho Chi Minh City Vietnam",75.0,Mon to Sun：_10:00-23:00 
Saigon Craft Bar And Grill,https://ak-d.tripcdn.com/images/10080n000000eeif40693.jpg,0.0,0,,,"10.7231977, 106.7098417","68 Ly Long Tuong St My Phuc Apartment Building Phu My Hung District 7, Ho Chi Minh City Vietnam",14.0,Mon to Sun：_15:30-1:00 
Cafe Vy,https://ak-d.tripcdn.com/images/100b14000000wz5821529.jpg,5.0,2,,,"10.7716122, 106.6955211","278 Le Thanh Ton, Ben Thanh Ward, District 1, Ho Chi Minh City 70,000 Vietnam",0,Mon to Sun：_pen all day 
